Address,General_Plan_Designation,Latitude,Longitude,,,
1325 and 1327 65th Street;,Urban Center Low (FAR 0.4 - 4.0),38.5554057,-121.4268641,,,
1007 E Street (Northwest Corner of 10th and E Streets),Urban Neighborhood Low Density (12-36 du/na),38.5858704,-121.49059,,,
1209 Sitka Street,Urban Center Low,38.5938318,-121.4828759,,,
420 4th Avenue,Traditional Neighborhood Low Density,38.555918,-121.5116594,,,
800 K Street and 801 L Street,Central Business District (FAR 3.0 – 15.0),38.5796612,-121.4965246,,,
6130 Lemon Hill Blvd,Traditional Neighborhood Medium Density,38.514996,-121.4332125,,,
The northwest corner of Bruceville Road and Jacinto Road,Suburban Neighborhood High Density(15-30 du/na),38.447453,-121.418541,,,
"8151 Sheldon Road, Elk Grove",Suburban Neighborhood High Density Suburban Center,38.438061796399,-121.404231285327,,,
7701 Shasta Avenue ,Traditional Neighborhood Medium Density (8-21 du/acre),38.4506241122285,-121.413315966666,,,
1061 H Street,Urban Corridor Low,38.5823636613129,-121.491672038971,,,
1900 3rd Street,Traditional Neighborhood Medium Density,38.5726883,-121.5074226,,,
2026 I Street,Urban Corridor Low,38.577301,-121.4785041,,,
6458 Stockton Blvd.,SCOR,38.5092621095769,-121.43539451681,,,
"943, 947, 951, 955 Pinedale Avenue and 947 Irem Way",Suburban Neighborhood Low Density,38.6603159193561,-121.444150206134,,,
Southwest of the intersection of Prosper Street and Gloster Way,Suburban Neighborhood Medium Density,38.64175,-121.514489,,,
2630 5th Street,Urban Neighborhood Medium Density (33-110 du/na,38.5630491,-121.5091147,,,
1816 5th Street,Urban Corridor High (33 to 150 du/na),38.5726822,-121.5043964,,,
1827-1831 J Street,Urban Corridor High (FAR 0.3 - 6.0),38.5774337935222,-121.481360375564,,,
2920 Ramona Avenue,Employment Center Mid Rise,38.5474968417606,-121.416359194408,,,
3348 S Street,Urban Corridor Low (36 du/ac),38.5617448,-121.4663152,,,
3009 U Street and 2031 30th Street,Urban Corridor Low,38.5612093,-121.4711988,,,
Northwest Corner of the Intersection of El Centro Road and Natomas Central Drive,Suburban Neighborhood High Density 15-30 du/da,38.643731,-121.540786,,,
1723 20th Street,Urban Corridor Low,38.568183,-121.4829415,,,
East of the intersection of Malta Island Street and Sardinia Island Way,Suburban Neighborhood Medium Density 7-17 du/na,38.646103,-121.540766,,,
1430 Q Street,Urban Corridor High,38.5705041,-121.4903706,,,
2010 F Street,Traditional Neighborhood Medium Density,38.58073,-121.4776166,,,
2500 and 2508 J Street,Urban Corridor Low,38.574523,-121.473086,,,
3425 2nd Avenue,Urban Corridor Low,38.5530828,-121.4686761,,,
1417 5th Street,Central Business District,38.5774188505521,-121.502016420729,,,
1509 D Street,Traditional Neighborhood Medium Density,38.5851167,-121.4831679,,,
1011 Broadway,Urban Corridor Low (36 du/ac),38.5638839811701,-121.499812201963,,,
3111 65th St,Urban Neighborhood Low Density (12-36 du/na),38.5460584093596,-121.427774919861,,,
Northwest corner of Natomas Park Drive and Garden Highway,Employment Center Mid Rise,38.608438,-121.50373,,,
Northeast corner of the intersection of Natomas Central Drive and Baffin Bay Court,Suburban Neighborhood High Density 15-30 du/,38.653293,-121.543327,,,
"East of the intersection of Natomas Central Drive and Po River Way,",Suburban Neighborhood Medium Density 7-17 du/na,38.644761,-121.542712,,,
 Southeast corner of Del Paso Road and Natomas Central Drive,Suburban Neighborhood Medium Density 7-17 du/na,38.654602,-121.542694,,,
 1715 17th Street,Urban Corridor High (33 to 150 du/na),38.5699002885905,-121.487181875085,,,
8700 Bruceville Road,Suburban Neighborhood Low Density (3 - 8 units acre),38.4379919592148,-121.417850014185,,,
 Northwest Corner of Rose Arbor Drive and Natomas Boulevard,Suburban Center ,38.68302,-121.508824,,,
North of Fairgrounds Drive,Traditional Neighborhood High Density,38.54991,-121.442481,,,
2001/2025 L Street and 2100 Capitol Ave,"L Street: Urban Corridor Low
Capitol: Urban Corridor Low/Traditional Neighborhood Medium Density",38.5746979,-121.4805365,,,
1812 17th Street ,Urban Corridor High (33 to 150 du/na),38.5688896209767,-121.487815512338,,,
 3675 T Street,"Urban Center Low (FAR 0.4 - 4.0, 20 - 110 units/acre)",38.5600092,-121.4617069,,,
560 J Street,Central Business District,38.5817810794441,-121.49931469718,,,
515 T Street,Traditional Neighborhood Medium Density,38.571217275876,-121.504146108524,,,
1431 I Street,Central Business District,38.5798851,-121.486224,,,
1014 C Street,Employment Center Low Rise and Urban Neighborhood Low Density,38.5877605560555,-121.490003899534,,,
3800 Fong Ranch Road,Suburban Neighborhood Low Density (3-8 du/na),38.6371299557013,-121.487583524123,,,
"Parcels generally to the North of Union Pacific Railroad, South of Business 80, East of Alhambra Boulevard, and West of Lanatt,",Planned Development,38.583499,-121.457311,,,
5275 F Street,Public/Quasi-Public,38.5720841,-121.4375382,,,
"2813 Q Street,",Urban Corridor Low,38.5662659,-121.4718338,,,
"North of Bell Avenue, between Dry Creek Road. & Marysville Boulevard",Suburban Neighborhood Medium Density,38.648708,-121.436917,,,
1625 19Th Street,Urban Core Low,38.5695212,-121.4840447,,,
1390 Dreamy Way,Suburban Neighborhood Low Density & Suburban Neighborhood Medium Density,38.6746345917909,-121.493563992582,,,
4489 Don River Lane,Suburban Neighborhood Low Density,38.6548646677878,-121.554533440378,,,
4579 Juneberry Drive & 55 Other addresses,Suburban Neighborhood Medium Density,38.6552756294219,-121.497405589319,,,
1417 20th Street,Urban Corridor Low,38.5714969,-121.4818513,,,
"1520, 1528, 1530 F Street",Urban Corridor Low,38.5823158,-121.4840151,,,
1024 R Street,Urban Corridor High,38.5713038562863,-121.4969838326,,,
4040 Euboea Island Lane,Suburban Neighborhood Low Density,38.6534105872356,-121.549927722198,,,
1817 T Street,Traditional Neighborhood Medium Density,38.5664129,-121.486549,,,
"1500, 1506, 1508, 1512, 1516, and 1522 S Street",Urban Corridor Low,38.568288,-121.4907417,,,
"2300 Northview Drive, Sacramento, CA 95833",Suburban Neighborhood High Density,38.6091439633888,-121.478459225003,,,
4801 J Street,"Traditional Neighborhood Low Density, Traditional Center.",38.5672826,-121.443239,,,
"605 16th Street, 1612 – 1616 F Street, Sacramento, CA 95814",Urban Corridor Low,38.5824230175429,-121.483244225227,,,
6601 Folsom Boulevard,Urban Center Low,38.5542178,-121.4263069,,,
612 Jefferson Ave,Downtown General Use,37.4882909722719,-122.228611066524,,,
603 Jefferson (Approved but withdrawn),Mixed Use - Downtown,37.4883255820509,-122.227906159835,,,
601 El Camino Real,Mixed Use Corridor,37.4889438232936,-122.237922593127,,,
707 Bradford,Mixed Use Downtown,37.488990122416,-122.227682968055,,,
910 Woodside Road,Mixed Use Neighborhood,37.4649295407684,-122.224746279579,,,
1409 El Camino Real,Mixed Use Downtown,37.4817377844878,-122.228987328089,,,
654 Sea Anchor Rd,Mixed Use Waterfront,37.497779,-122.222554,,,
660 Sea Anchor Rd,Mixed Use Waterfront,37.497766,-122.220737,,,
652 Sea Anchor Dr.,Mixed Use Waterfront,37.497788,-122.223176,,,
"50, 80, and 88 Finger Avenue",Low density residential,37.492442781564,-122.244432231226,,,
La Palma - 1675 Kentfield Ave,Medium Density Residential,37.4639608981013,-122.226097287533,,,
150 El Camino Real,Mixed Use neighborhood,37.492774,-122.243736,,,
642 Bair Island ,Mixed Use Waterfront,37.496544,-122.22479,,,
849 Veterans Blvd,Mixed Use Corridor,37.4906620952127,-122.228948082556,,,
"488 Winslow St, 439 Fuller Street",Mixed Use Downtown,37.49013456443,-122.231699165381,,,
1305 El Camino Real (Greystar III),Mixed Use Downtown,37.482261,-122.229394,,,
103 Wilson St. (Greystar II),Mixed Use Downtown,37.4832719049165,-122.229020551281,,,
1 Uccelli Blvd (Pete's Harbor) ,Mixed-Use Waterfront Neighborhood,37.500681366523,-122.222902594723,,,
810-814 S. Catalina Avenue,,33.8288131201694,-118.388924584657,,,
521 – 527 S. Broadway,,33.833619,-118.387123,,,
1914 – 1926 S. Pacific Coast Hwy,mixed use,33.816071,-118.375865,,,
1700 S. Pacific Coast Hwy,,33.8186451,-118.3822261,,,
219 Avenue I,Coastal Zone/Mixed- Use Overlay,33.8194549,-118.3867538,,,
800 N. Catalina Ave.,Coastal Zone,33.8491598922992,-118.391453010476,,,
"2516, 2518, and 2520 Nelson Ave",,33.8746535117624,-118.36605166218,,,
254 E. Union St.,Medium Density Mixed Use,34.1465351,-118.1451464,,,
207 S. El Molino Ave,High Density Residential,34.1421943,-118.137311,,,
60 S. Vinedo,Med-High Density Residential,34.1447452559425,-118.096060082851,,,
100 W. Walnut ,Med. Density Mixed Use,34.1485908,-118.1523747,,,
563 Lincoln Ave.,Med-High Density Residential,34.1547514803677,-118.154186753244,,,
1661 N. Fair Oaks Ave.,Med-High Density Residential,34.17450285862,-118.150818002698,,,
130-135 North Mar Vista Avenue,High Density Residential,34.1481456185137,-118.126598003015,,,
277 N. El Molino Ave,Urban Housing ,34.1508887,-118.1373892,,,
"108, 110, 112 S. Orange Grove Blvd",Medium Density Commercial,34.1445825474282,-118.1601115944,,,
1105 East Villa Street,Med-High Density Residential,34.1544113773746,-118.127866903056,,,
118 N. Allen Ave.,Med-High Density Residential,34.1483556880492,-118.113092819755,,,
125 Hurlbut,Med-High Density Residential,34.1299994121169,-118.153314980477,,,
"135, 137 S. Wilson Avenue",High Density Residential,34.143369,-118.12831,,,
167 North Sierra Bonita Ave,Med-High Density Residential,34.1489676488069,-118.117165248296,,,
2424 E. Del Mar Ave. ,Med-High Density Residential,34.1420185345195,-118.100414851988,,,
"275 N. Wilson St., 285 N. Wilson St., 281 Mar Vista Avenue",Med-High Density Residential,34.1503069483257,-118.128162919435,,,
300 E. Colorado Blvd.,High Density Mixed Use,34.1451633,-118.1437055,,,
314 Alpine Street,Med-High Density Residential,34.1296250321397,-118.14368991735,,,
33-45 West Green Street,Med. Density Mixed Use,34.1445938003071,-118.151606254893,,,
377-395 S. Marengo Avenue,Med-High Density Residential,34.1390602666403,-118.145974690844,,,
"545, 553 N. Wilson Ave.",Med-High Density Residential,34.1555539,-118.1285102,,,
563 Lincoln Ave.,Med-High Density Residential,34.1547514803677,-118.154186753244,,,
655 Westminster Dr.,Low Density Residential,34.1436036004693,-118.164915405224,,,
728 S. Marengo Ave,Med-High Density Residential,34.1332881,-118.1453961,,,
75 W. Walnut Street,Med. Density Mixed Use,34.1496539144358,-118.151643230419,,,
913 Boston Court,High Commercial,34.1474342,-118.1315116,,,
92 North Allen Ave,Med-High Density Residential,34.1479651601304,-118.113089256303,,,
95 South Altadena Drive,Med-High Density Residential,34.1444377,-118.0989307,,,
178 N Halstead Ave.,High Density Mixed Use,34.1497611116719,-118.079555385152,,,
704 S Marengo Ave.,Med-High Density Residential,34.1336206,-118.1453988,,,
719 S Marengo Ave.,Med-High Density Residential,34.1333352425678,-118.145921076472,,,
167 E. Walnut,Med. Density Mixed Use,34.1496127239156,-118.147261423374,,,
300 W. Green Street,,34.1438302,-118.1442643,,,
"2460-2480 Oswego Street (Council District 4) (FDR on 10/27/15), (TTM on 4/5/17) (60 units)",Med-High Density Residential,34.1433417173104,-118.100048486576,,,
245 S Los Robles Ave.,,34.1411235,-118.1418067,,,
"104, 112 E. Orange Grove Blvd.",Low-Med Density Mixed Use,34.1577321403041,-118.148084635595,,,
399 E Del Mar ,Med. Density Mixed Use,34.1404729974871,-118.141390343016,,,
1669 N. Fair Oaks Ave.,Medium Density Residential,34.1746148227019,-118.150819084495,,,
3001 El Camino,,37.422258,-122.139721,,,
567 Maybell,,37.4088309,-122.1266407,,,
2500 El Camino Real,,37.4242496,-122.145017,,,
430 Forest Ave,,37.4457811,-122.1570838,,,
1451 CALIFORNIA AVE,,37.4175468,-122.1508906,,,
405 Curtner Ave,,37.4179912,-122.1309188,,,
441 PAGE MILL RD,,37.4237662,-122.1410816,,,
 585 22nd Street and 570-610 21st Street,Central Business District,37.81105,-122.271151,,,
0 10th Street,Urban Residential,37.813199,-122.300892,,,
0 11TH ST,Mixed Housing Type,37.808689,-122.292808,,,
0 7TH,Community Commercial,37.806647,-122.299639,,,
0 Wood Street/1750-14th Street,Housing and Business Mix,37.813348,-122.29752,,,
1001 42ND,Housing and Business Mix,37.8325084,-122.2767672,,,
1007 W GRAND,Community Commercial,37.8145918,-122.2811992,,,
101 E 12th,Urban Residential,37.7978983750071,-122.258036875985,,,
10500 INTERNATIONAL,Community Commercial,37.7392778,-122.1661587,,,
1100 Clay St,Central Business District,37.8031658418974,-122.274839353829,,,
1160 66th,Housing and Business Mix,37.8490168,-122.287536,,,
1218 Miller,Business Mix,37.7820858,-122.2350161,,,
1228 36TH,Neighborhood Center Mixed Use,37.774903,-122.2219834,,,
1245 23RD,Neighborhood Center Mixed Use,37.7832982,-122.2362601,,,
1245 23RD AVE,Neighborhood Center Mixed Use,37.7832982,-122.2362601,,,
1304 5th St,Community Commercial,37.8035887,-122.2922745,,,
1314 Franklin Street,Central Business District,37.8032714,-122.2695888,,,
1331 HARRISON ST,Central Business District,37.8027472,-122.2680591,,,
1401 WOOD ST,Urban Residential,37.8147135120125,-122.296805657493,,,
1405 Wood Street,Urban Residential,37.8155331,-122.2969845,,,
1415 HARRISON,Central Business District,37.8032211,-122.2676469,,,
1431 Center St,Mixed Housing Type Residential,37.8118652,-122.2928658,,,
1437 34th St,Housing and Business Mix Zoning,37.8255121,-122.2848789,,,
1450 32nd Street,Mixed Housing Type Residential,37.824147,-122.2850553,,,
1518 M L KING JR WY,Central Business District,37.807091,-122.2751,,,
1608-1618 32nd Street,Housing and Business Mix,37.8233116464479,-122.288128977659,,,
1638 47th Ave,Urban residential,37.7720342,-122.2090034,,,
1640 Broadway        ,Central Business District,37.8062843,-122.2695879,,,
1680 14th,Mixed Housing Type Residential; Housing and Business Mix,37.8126835,-122.2959856,,,
1700 WEBSTER ST,Central Business District,37.8058434,-122.2668029,,,
1708 WOOD ST,Housing and Business Mix,37.8147284,-122.2940596,,,
1721 Webster Street,Central Business District,37.8062143,-122.2674608,,,
1801 JEFFERSON ST,"Central Business
District",37.8082532895012,-122.273350731362,,,
1900-1944 Broadway,Central Business District,37.8078220618352,-122.268527154527,,,
1940 WEBSTER,Central Business District,37.8072791,-122.2659069,,,
201 Broadway,EPP Retail Dining Entertainment 2,37.7964344,-122.2766347,,,
2011-2195 Wood Street,Urban Residential,37.8174818817467,-122.294615548087,,,
2015 TELEGRAPH,Central Business District,37.8099369,-122.2698337,,,
2126 Martin Luther King Jr Way,Central Business District,37.8121074,-122.2725756,,,
2201 BRUSH,Community Commercial,37.8125649,-122.2752358,,,
2215 WEST ST,Community Commercial,37.8129385084251,-122.276300233368,,,
2242 Magnolia Street,Housing and Business Mix,37.816614,-122.2844167,,,
226 13th Street,Central Business District,37.8018785,-122.2660427,,,
2270 BROADWAY,Central Business District,37.81189,-122.26584,,,
2302 VALDEZ ST,Central Business District,37.8119863,-122.2638138,,,
2305 WEBSTER,Central Business District,37.8121771,-122.2655123,,,
2310 Myrtle ST,Community Commercial,37.8155659,-122.2790728,,,
2330 Webster,Central Business District,37.8125212,-122.2645854,,,
2425 VALDEZ ST,Central Business District,37.8137417,-122.2640026,,,
2460 VALDEZ ST,Central Business District,37.8144042,-122.2632036,,,
250 14th Street,Central Business District,37.8027547,-122.2665772,,,
250 17th,Central Business District,37.8053045,-122.2650002,,,
2503 ADELINE ST,Housing and Business Mix,37.8181171,-122.2834608,,,
2630 Broadway,Central Business District,37.8150615,-122.2638474,,,
276 HEGENBERGER RD,Commercial,37.7331131,-122.1967257,,,
277 27th Street,Central Business District,37.814456766746,-122.262819275652,,,
2805 Park Blvd,Urban Residential,37.8027178212284,-122.239765198261,,,
2855 Broadway,Central Business District,37.8169759,-122.2636434,,,
2868 Hannah St,Housing and Business Mix,37.8227945,-122.286263,,,
2897 CHAPMAN ST,EPP Residential Mixed Use,37.7733345,-122.2334418,,,
2970 SUMMIT ST,Medical Center Zone,37.8185887,-122.2644307,,,
2985 Ford St,"EPP Residential Mixed Use
Zoning",37.7719228,-122.2320569,,,
3000 Broadway,Community Commercial,37.8187518,-122.2618141,,,
301 12TH ST,Centra Business District,37.8014314,-122.2692666,,,
3010 E 7th St,EPP Residential Mixed Use,37.7732789,-122.2302713,,,
3014 Chapman St,EPP Residential Mixed Use,37.7722406397875,-122.230128107538,,,
3093 BROADWAY,Community Commercial,37.8206107,-122.2619451,,,
3129 Elmwood,EPP Residential Mixed Use,37.7726655,-122.2287907,,,
322 BROADWAY,EPP Retail Dining Entertainment 2,37.7970433,-122.2753975,,,
3235 Louise Street,Mixed Housing Type Residential,37.82449776656,-122.284953961511,,,
3250 Hollis Street,Housing and Business Mix,37.825345,-122.2836026,,,
3253 ETTIE ST,Housing and Business Mix,37.8242454,-122.2885161,,,
335 3RD ST,Retail Dining Entertainment 2,37.7954219,-122.2731569,,,
340 29TH AVE,Light Industry 2,37.7723393,-122.2354543,,,
3416 Piedmont Ave,Community Commercial,37.8215631,-122.2591341,,,
344 13TH,Central Business District,37.802716,-122.2685615,,,
35th and 37th Avenue,Neighborhood Center Mixed Use,37.774929,-122.222956,,,
364 40th,Community Commercial,37.8283706,-122.2579362,,,
377 2ND ST,"Estuary Plan: Mixed Use
District 
",37.7950261,-122.274825,,,
3820 M L KING JR,Neighborhood Center Mixed Use,37.827589,-122.268712,,,
391 40th ST,Urban Residential,37.8280368,-122.2595266,,,
401 29th ST,Community Commercial,37.8172996,-122.2650408,,,
4045 BROADWAY,Community Commercial,37.828324,-122.2566215,,,
410 Webster,EPP Mixed Use,37.7965252708811,-122.272997003791,,,
411 W MACARTHUR,Neighborhood Center Mixed Use,37.8250894,-122.2620083,,,
431 Madison St,Estuary policy plan- mixed use district,37.7944364,-122.2689257,,,
4425 Piedmont Ave,Neighborhood Center Mixed Use,37.8308254,-122.2471239,,,
4429 PIEDMONT AVE,Neighborhood Center Mixed Use,37.8309497,-122.2468973,,,
4430/4440/4448 Howe Street,Mixed Housing Type Residential,37.8312624,-122.2471114,,,
4435 PIEDMONT AVE,Neighborhood Center Mixed Use,37.8310778,-122.2467284,,,
456 23RD,Community Commercial,37.8126687,-122.2678008,,,
459 23RD ST,Central Business District,37.8122586,-122.268004,,,
459 8TH ST,Central Business District,37.800152,-122.2743378,,,
4615 Shattuck Ave,Detached Unit Residential Zone,37.8338272684092,-122.26381386418,,,
469 Jean Street,Urban Residential,37.8152878,-122.2505755,,,
4690 TOMPKINS AVE,Mixed Housing Type Residential,37.7873193,-122.1849003,,,
4700 TELEGRAPH AVE,,37.8342821,-122.2626788,,,
4901 BROADWAY,,37.8338534,-122.2531332,,,
491 Bellevue Avenue,Urban Residential,37.8079475,-122.2534866,,,
495 22nd,Central Business District,37.8108951,-122.2687795,,,
500 GRAND,Neighborhood Center Mixed Use,37.8088826,-122.2513458,,,
5110 Telegraph,"Neighborhood Commercial, Mixed Use Residential",37.8374332,-122.2619098,,,
522 20th St,"Central Business
District",37.8099375,-122.2703251,,,
5238 Coronado/ 5107 Broadway,Community Commercial,37.8359618422689,-122.252580342984,,,
530 32nd Street,Urban Residential,37.8213285,-122.26767,,,
5300 SAN PABLO AVE,Community Commercial,37.8373529,-122.2814735,,,
532 39th Street,Neighborhood Center Mixed Use,37.8289255,-122.2656727,,,
532 Turquoise,Neighborhood Center Mixed Use,37.826907,-122.266164,,,
532 UNION ST,Transit Oriented Development (West Oakland),37.8038622289935,-122.290480285118,,,
5325 SAN PABLO,Community Commercial,37.8376056,-122.2823343,,,
537 24TH,Urban Residential,37.8133686,-122.2697284,,,
58 VERNON ST,Urban Residential,37.8123455,-122.2598158,,,
580 Grand,Neighborhood Center Mixed Use,37.8094789,-122.2501151,,,
5817 Shattuck Avenue,Mixed Housing Residential,37.8439991,-122.2653338,,,
5917 BROMLEY AVE,Mixed Housing Type Residential,37.766616,-122.1962864,,,
603 22ND,Central Business District,37.8111355,-122.2717017,,,
605 9th,Central Business District,37.8022473,-122.2773023,,,
6105 San Pablo,Mixed Housing Type,37.844233,-122.2846547,,,
6300 Shattuck,Mixed Housing Type Residential,37.8487786040516,-122.265609194102,,,
646 HEGENBERGER RD,Regional Commercial,37.7473669,-122.1956035,,,
6500 SAN PABLO,Community Commercial;,37.8482604,-122.2850803,,,
657 W Macarthur,Urban Residential; Neighborhood Center Mixed Use,37.8270229,-122.269476,,,
6651 BANCROFT,Urban Residential,37.7694088,-122.1815958,,,
718 CLAY ST,Central Business District,37.8006453,-122.276187,,,
7540 MACARTHUR,Neighborhood Center Mixed Use,37.7679068,-122.1698178,,,
8024 Rudsdale Street,Mixed Housing Type Residential,37.7540381,-122.1849731,,,
805 71ST AVE,Community Commercial,37.7546403054419,-122.197151570326,,,
867 W GRAND,Community Commercial,37.813823,-122.2776487,,,
905 72nd Ave,Urban Residential,37.7555047,-122.1948897,,,
956 63rd St,Housing and Business Mix; and Mixed Housing Type Residential,37.8472152,-122.2779599,,,
9863 STEARNS AVE,,37.7493851,-122.1532186,,,
989 41ST ST,Housing and Business Mix,37.8316416,-122.2759523,,,
Brooklyn Basin/Oak to 9th Avenue Parcel C,Planned Waterfront Development-I.,37.787652,-122.257096,,,
Brooklyn Basin/Oak to 9th Avenue Parcel F,Planned Waterfront Development- I,37.788814,-122.256354,,,
Jack London Square: Sites D and F2,"Site D = Retail, Dining and Entertainment, Site F2 = Waterfront Commercial Recreation, C-45 Shopping Commercial Zone",37.795293,-122.277407,,,
Oak Knoll Mixed Use Community Plan Project ,"Hillside Residential, Community Commercial, Institutional, Urban Open Space and Resource Conservation Area",37.769854,-122.145572,,,
1101 W El Camino Real,Mixed-Use Corridor,37.3871707,-122.0872872,,,
801 W El Camino Real,Mixed-Use Corridor,37.3855864,-122.0842828,,,
779 E Evelyn Ave,General Industrial ,37.3849376,-122.052898,,,
827 N Rengstorff Ave,Limited Industrial,37.4154601,-122.0925879,,,
1616 W El Camino Real,Mixed-Use Corridor,37.3908253,-122.0929459,,,
1998 Montecito Ave,Medium-Density Residential,37.4069739,-122.0926055,,,
2044 Montecito Ave,Medium-Density Residential,37.4064448,-122.0935469,,,
2700 W El Camino Real,Mixed-Use Corridor ,37.4040753,-122.1167181,,,
2268-2280 W El Camino Real (Tier 1)," Mixed-Use Corridor, Medium-Density Residential",37.397001,-122.104051,,,
400-520 San Antonio Rd,Mixed-Use Corridor,37.4049675608689,-122.111316527342,,,
394 Ortega Ave,Mixed-Use Corridor,37.4011972,-122.1050685,,,
1701 W El Camino Real,Medium-Intensity Corridor,37.3901942,-122.0941114,,,
881 Castro St,"Downtown Mixed-Use Corridor, Medium-Density Residential",37.3865039,-122.0832585,,,
2645 Fayette Dr,High-Density Residential,37.4037783,-122.1139384,,,
660 Tyrella Ave,Medium-High Density Residential,37.4060985,-122.0622876,,,
582 Hope St,Downtown Mixed-Use,37.3881054,-122.0814139,,,
186 E Middlefield Rd,Medium-Density Residential ,37.3983058,-122.0621986,,,
1991 Sun Mor Avenue,Low-Density Residential ,37.373591,-122.0691908,,,
2025 San Luis Ave,Medium-Density Residential,37.407388,-122.0934401,,,
2296 Mora Drive,Medium-Density Residential ,37.4036017,-122.1023828,,,
1958 Latham St,Medium-High Density Residential,37.3951828,-122.0969288,,,
647 Sierra Vista Ave,Medium-Density Residential,37.4111497,-122.0886019,,,
133 Fairchild Dr,Medium-High Density Residential,37.4057502,-122.0614051,,,
1968 Hackett Ave,Medium-Density Residential ,37.4044124,-122.0930793,,,
231 Hope St,"Downtown Mixed-Use, Area G of Downtown Precise Plan",37.3927348,-122.0780192,,,
"100 Ferguson Dr, 420-430 Ferguson Dr",Medium-High Density Residential,37.3923151,-122.0570928,,,
500 Ferguson Dr,Medium-High Density Residential,37.3915936,-122.0523082,,,
277 Fairchild Dr,Medium-High Density Residential,37.4052469,-122.0577557,,,
333 N Rengstorff Ave,Medium-Density Residential,37.4078255,-122.0944124,,,
450 N Whisman Rd,Medium-Low Density Residential,37.4010286559065,-122.058285406136,,,
400 Pacific Dr,Medium-Density Rowhomes,37.3921235,-122.0583912,,,
1946 San Luis Ave,Medium-Density Residential,37.4079774,-122.0908323,,,
111 Fairchild Dr,Medium-Density Residential,37.4061067,-122.0615432,,,
12101 W  OLYMPIC BLVD,General Commercial,34.03242,-118.45454,,,
8150 W  SUNSET BLVD,Neighborhood Office Commercial,34.0978137,-118.3665299,,,
904 N  LA BREA AVE ,Limited Manufacturing,34.0871587893716,-118.343965030221,,,
3351 S  LA CIENEGA BLVD,Limited Manufacturing,34.027349595517,-118.372128443539,,,
6201 W  SUNSET BLVD,Commercial Manufacturing,34.09817,-118.32395,,,
1900 S BROADWAY,Community Commercial,34.03035,-118.265819,,,
805 S CATALINA ST ,Neighborhood Commercial and High Medium Residential,34.05749,-118.29554,,,
11700 W MAGNOLIA BLVD,Neighborhood Office Commercial,34.16474,-118.38813,,,
332 N  OAKHURST DR  ,High Medium Residential,34.07391,-118.3907,,,
12300 W  WEDDINGTON ST  ,Medium Residential,34.16661,-118.4009,,,
1936 N  PRESTON AVE ,Low Medium II,34.0872190682514,-118.251687361925,,,
11767 E  BELLAGIO ROAD,Medium Residential,34.07964,-118.47065,,,
5131 N  CARTWRIGHT AVE ,Low Medium II Residential,34.16354,-118.36384,,,
846 N  CORONADO ST  ,Medium Residential,34.0778,-118.26988,,,
853-857 N  HYPERION AVE,Medium Residential,34.0872461919013,-118.283180623875,,,
2925 W  WAVERLY DR  ,Low Medium II Residential,34.10986,-118.26602,,,
5258 N  HERMITAGE AVE ,Medium Residential,34.16648,-118.40019,,,
7000  WOODLAKE AVE ,Very Low Residential; 	Low Residential ,34.19796,-118.63142,,,
1345 W  1ST ST  , Highway Oriented Commercial - High Med Residential,33.74323,-118.30524,,,
859 S  LUCERNE BLVD,Medium Residential,34.05881,-118.326,,,
850 S HILL ST  ,Regional Center Commercial,34.04318,-118.2567,,,
333 S  LA CIENEGA BLVD,Neighborhood Office Commercial,34.0730714546856,-118.376568930781,,,
11750 WILSHIRE BLVD W ,General Commercial,34.04846,-118.46179,,,
11460 GATEWAY BLVD W  ,General Commercial,34.03348,-118.44154,,,
3568 MOTOR AVE  S ,General Commercial,34.02512,-118.40734,,,
9503 ANDORA PL N  ,Minimum and Very Low I Residential ,34.24279,-118.62643,,,
1118 N MCCADDEN PL  ,Limited Manufacturing,34.09129,-118.33733,,,
"536-548 W. 127th St., 535-611 W. El Segundo Blvd.",Medium Residential,33.9175234181063,-118.283531763933,,,
7843 N  LANKERSHIM BLVD,Neighborhood Office Commercial,34.21329,-118.38805,,,
3200 W  TEMPLE ST  ,Highway Oriented Commercial,34.07522,-118.28139,,,
241 N  VERMONT AVE ,Neighborhood Office Commercial,34.07574,-118.29188,,,
1250 S WESTMORELAND AVE ,"High Medium Residential, General Commercial",34.04791,-118.2889,,,
307 N  WILMINGTON BLVD,Low Medium II Residential,33.7721731356446,-118.273672364187,,,
5151 W  ROMAINE ST  ,Medium Residential,34.08864,-118.30414,,,
1307 W 7TH ST  ,Community Commercial,34.05261,-118.26791,,,
3501 S  CENTRAL AVE ,Neighborhood Commercial,34.0115252,-118.2567083,,,
1077 W 38TH ST  ,Community Commercial,34.0174,-118.29395,,,
3015 S  WEST VIEW ST  ,Neighborhood Office Commercia,34.02647,-118.35328,,,
1600 N  SERRANO AVE ,High Density Residential,34.09996,-118.30697,,,
649 S  WALL ST  ,High Medium Residential,34.04256,-118.24822,,,
3411 S  CRENSHAW BLVD,Community Commercial,34.02516,-118.33529,,,
2631 S  CRENSHAW BLVD,Community Commercial,34.03151,-118.33538,,,
14827 W  VICTORY BLVD,Medium Residential,34.18686,-118.45626,,,
1522 S  ARMACOST AVE ,Medium Residential,34.0412377,-118.45949,,,
1010 E  JEFFERSON BLVD,Limited Manufacturing,34.01207,-118.258,,,
