Address,General_Plan_Designation,Latitude,Longitude,,,
"270 Sunol St, 77 West San Carlos",Urban Residential,37.3242644,-121.9056249,,,
955 Branham,Mixed Use Neighborhood,37.2659472,-121.869767,,,
1560 Oakland Rd ,"Open Space, Parkland",37.3768438,-121.8918087,,,
298 N 4th St ,Mixed Use Neighborhood,37.3419654,-121.8901819,,,
696 N. 6th ,Transit Residential,37.3516189493163,-121.894761459445,,,
388 S Buena Vista Av ,Mixed Use Neighborhood,37.321767,-121.918714,,,
402 W Santa Clara St,Downtown,37.3316716,-121.8990887,,,
201 Delmas ,Downtown,37.3285196,-121.8966769,,,
70 S Almaden Av ,Downtown,37.3337215,-121.8921028,,,
39 N 5th St ,Downtown,37.3386366,-121.8871443,,,
199 Bassett St ,Downtown,37.3402799,-121.897719,,,
180 Park Av ,Public-Quasi-Public,37.3312074348768,-121.891259161611,,,
"901 16th Street, 1200 17th Street",,37.7661247,-122.3954731,,,
925-967 Mission Street,,37.7821537,-122.4066011,,,
706 Mission Street,,37.7861398,-122.4024479,,,
1500 Mission Street,,37.7742776,-122.4175906,,,
40 Cleveland Street,,37.7767154,-122.407048,,,
2420 3rd Street,,37.7589335365059,-122.388574244164,,,
793 South Van Ness Avenue,,37.7606728,-122.4167012,,,
1900 Mission Street,,37.7665356,-122.4201087,,,
1500 Sunnydale Ave,,37.7130874,-122.4189902,,,
265 Shipley Street,,37.7787543,-122.4040659,,,
2444 Lombard St,,37.7994136,-122.4420524,,,
888 Tennesee Street,,37.7607663,-122.3899847,,,
1801 23rd Street,,37.7536653,-122.396631,,,
225-227 Shipley Street,,37.7793244,-122.4033362,,,
244 9th Street,,37.7741246833262,-122.41221986043,,,
360 Fifth Street,,37.7793625969487,-122.402400705842,,,
975 Bryant Street,,37.7728708,-122.4056592,,,
980 Folsom Street,,37.7790166,-122.4053641,,,
999 Folsom,,37.7785203,-122.4053729,,,
1500-1540 Market Street,,37.7752461,-122.4195363,,,
603 Tennessee Street,,37.7640052,-122.3895159,,,
